Location ID,ZIP Code,Borough,Council district,Requesting precinct,Conduct or complaint that led to requested operation: Disorderly Patrons,Conduct or complaint that led to requested operation: Elevated sound,Conduct or complaint that led to requested operation: Harrassment,Conduct or complaint that led to requested operation: Larceny,Conduct or complaint that led to requested operation: Physical assault,Conduct or complaint that led to requested operation: Promotion of gambling,Conduct or complaint that led to requested operation: Robbery,Conduct or complaint that led to requested operation: Sale of alcohol to a minor,Conduct or complaint that led to requested operation: Traffic congestion,Conduct or complaint that led to requested operation: Unlicensed sale of alcohol,Conduct or complaint that led to requested operation: Violent activity with a weapon,Date of inspection,Time of visitation (hh:mm:ss),M.A.R.C.H inspection,Inspection duration (min),Inspectors from DEP present,Inspectors from DOB present,Inspectors from DOHMH present,Inspectors from FDNY present,Inspectors from NYPD present,Total inspectors from City government agencies present,Summonses issed by DEP,Summonses issed by DOB,Summonses issed by DOHMH,Summonses issed by FDNY,Summonses issed by NYPD,Total Summonses issued by City government agencies,Closure of establishment?,Closure duration (min),Written Notices pursuant to Admin. Code § 14-181
1,11105,Queens,22,114,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04/09/2021,10:00:00 PM,N/A,5,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,false,N/A,N/A
1,10037,Manhattan,9,32,1,N/A,N/A,1,N/A,N/A,1,N/A,1,N/A,N/A,01/10/2020,10:30:00 PM,1,90,2,2,2,2,12,20,1,2,3,3,2,11,false,N/A,N/A
2,10027,Manhattan,9,32,N/A,N/A,N/A,1,2,N/A,1,N/A,N/A,N/A,3,01/10/2020,11:30:00 PM,1,80,2,2,2,2,12,20,0,0,0,1,0,1,false,N/A,N/A
3,10030,Manhattan,9,32,3,1,N/A,N/A,3,N/A,N/A,N/A,1,N/A,N/A,01/11/2020,12:40:00 AM,1,145,2,2,2,2,12,20,0,0,0,0,0,0,false,N/A,N/A
4,10463,The Bronx,11,50,1,,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,1,01/17/2020,10:50:00 PM,1,100,2,2,2,2,13,21,0,0,3,1,0,4,false,N/A,N/A
5,10302,Staten Island,49,121,2,1,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,01/24/2020,10:40:00 PM,1,117,0,2,2,0,11,15,N/A,1,6,N/A,0,7,false,N/A,N/A
6,10302,Staten Island,49,121,2,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,1,N/A,01/25/2020,12:00:00 AM,1,180,0,2,2,0,11,15,N/A,1,2,N/A,0,3,false,N/A,N/A
7,11103,Queens,22,114,1,N/A,N/A,3,2,N/A,1,N/A,N/A,N/A,1,01/31/2020,10:40:00 PM,1,80,0,2,2,0,13,17,N/A,1,5,N/A,2,8,false,N/A,N/A
8,11103,Queens,22,121,1,N/A,N/A,2,2,N/A,N/A,N/A,10,N/A,N/A,02/01/2020,12:05:00 AM,1,95,0,2,2,0,13,17,N/A,0,6,N/A,1,7,false,N/A,N/A
9,11103,Queens,26,114,1,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,1,02/01/2020,1:40:00 AM,1,66,0,2,2,0,13,17,N/A,0,6,N/A,2,8,false,N/A,N/A
